,trip_id,start_time,end_time,headway_secs,start_time_sec,end_time_sec,sec_range,trip_id_total_trains,weekday,saturday,sunday,week,week_trip,sunday_trip,saturday_trip
61,25816277,06:30:00,12:00:00,495,23400,43200,19800,40,,0,0,1,0,0,1
62,25816291,22:30:00,01:05:00,640,81000,90300,9300,15,5,1,0,0,0,1,0
63,25816289,20:30:00,22:30:00,485,73800,81000,7200,15,5,1,0,0,0,1,0
64,25816287,12:00:00,20:30:00,440,43200,73800,30600,70,5,1,0,0,0,1,0
65,25816285,06:30:00,12:00:00,495,23400,43200,19800,40,5,1,0,0,0,1,0
66,25816354,06:30:00,07:15:00,585,23400,26100,2700,5,,0,0,1,1,0,0
67,25816356,07:15:00,09:45:00,360,26100,35100,9000,25,,0,0,1,1,0,0
68,25816358,09:45:00,16:30:00,420,35100,59400,24300,58,,0,0,1,1,0,0
69,25816360,16:30:00,19:30:00,360,59400,70200,10800,30,,0,0,1,1,0,0
70,25816362,19:30:00,20:30:00,425,70200,73800,3600,8,,0,0,1,1,0,0
71,25816364,20:30:00,22:30:00,475,73800,81000,7200,15,,0,0,1,1,0,0
72,25816366,22:30:00,25:05:00,565,81000,90300,9300,16,,0,0,1,1,0,0
73,25816368,06:30:00,12:00:00,490,23400,43200,19800,40,,0,0,1,0,0,1
74,25816370,12:00:00,20:30:00,420,43200,73800,30600,73,,0,0,1,0,0,1
75,25816372,20:30:00,22:15:00,480,73800,80100,6300,13,,0,0,1,0,0,1
76,25816374,22:15:00,25:05:00,570,80100,90300,10200,18,,0,0,1,0,0,1
77,25816376,06:30:00,12:00:00,490,23400,43200,19800,40,5,1,0,0,0,1,0
78,25816378,12:00:00,20:30:00,420,43200,73800,30600,73,5,1,0,0,0,1,0
79,25816380,20:30:00,22:15:00,480,73800,80100,6300,13,5,1,0,0,0,1,0
80,25816382,22:15:00,25:05:00,570,80100,90300,10200,18,5,1,0,0,0,1,0
81,25816367,22:30:00,01:05:00,565,81000,90300,9300,16,,0,0,1,1,0,0
82,25816365,20:30:00,22:30:00,475,73800,81000,7200,15,,0,0,1,1,0,0
83,25816363,19:30:00,20:30:00,425,70200,73800,3600,8,,0,0,1,1,0,0
84,25816361,16:30:00,19:30:00,360,59400,70200,10800,30,,0,0,1,1,0,0
85,25816359,09:45:00,16:30:00,420,35100,59400,24300,58,,0,0,1,1,0,0
86,25816357,07:15:00,09:45:00,360,26100,35100,9000,25,,0,0,1,1,0,0
87,25816355,06:30:00,07:15:00,585,23400,26100,2700,5,,0,0,1,1,0,0
88,25816369,06:30:00,12:00:00,490,23400,43200,19800,40,,0,0,1,0,0,1
89,25816373,20:30:00,22:15:00,480,73800,80100,6300,13,,0,0,1,0,0,1
90,25816371,12:00:00,20:30:00,420,43200,73800,30600,73,,0,0,1,0,0,1
91,25816375,22:15:00,01:05:00,570,80100,90300,10200,18,,0,0,1,0,0,1
92,25816377,06:30:00,12:00:00,490,23400,43200,19800,40,5,1,0,0,0,1,0
93,25816381,20:30:00,22:15:00,480,73800,80100,6300,13,5,1,0,0,0,1,0
94,25816379,12:00:00,20:30:00,420,43200,73800,30600,73,5,1,0,0,0,1,0
95,25816383,22:15:00,01:05:00,570,80100,90300,10200,18,5,1,0,0,0,1,0
96,25816318,10:00:00,16:30:00,700,36000,59400,23400,33,,0,0,1,1,0,0
97,25816319,10:15:44,16:30:00,700,36944,59400,22456,32,,0,0,1,1,0,0
98,25816320,06:30:00,07:15:00,410,23400,26100,2700,7,,0,0,1,1,0,0
99,25816322,07:15:00,10:00:00,335,26100,36000,9900,30,,0,0,1,1,0,0
100,25816324,10:00:00,16:15:00,365,36000,58500,22500,62,,0,0,1,1,0,0
101,25816326,16:15:00,20:30:00,335,58500,73800,15300,46,,0,0,1,1,0,0
102,25816328,20:30:00,21:00:00,360,73800,75600,1800,5,,0,0,1,1,0,0
103,25816330,21:00:00,22:15:00,475,75600,80100,4500,9,,0,0,1,1,0,0
104,25816332,22:15:00,25:15:00,710,80100,90900,10800,15,,0,0,1,1,0,0
105,25816334,06:30:00,12:00:00,485,23400,43200,19800,41,,0,0,1,0,0,1
106,25816336,12:00:00,20:30:00,490,43200,73800,30600,62,,0,0,1,0,0,1
107,25816338,20:30:00,21:30:00,485,73800,77400,3600,7,,0,0,1,0,0,1
108,25816340,21:30:00,22:30:00,570,77400,81000,3600,6,,0,0,1,0,0,1
109,25816342,22:30:00,25:05:00,710,81000,90300,9300,13,,0,0,1,0,0,1
110,25816344,06:30:00,12:00:00,485,23400,43200,19800,41,5,1,0,0,0,1,0
111,25816346,12:00:00,20:30:00,490,43200,73800,30600,62,5,1,0,0,0,1,0
112,25816348,20:30:00,21:30:00,485,73800,77400,3600,7,5,1,0,0,0,1,0
113,25816350,21:30:00,22:30:00,570,77400,81000,3600,6,5,1,0,0,0,1,0
114,25816352,22:30:00,25:05:00,710,81000,90300,9300,13,5,1,0,0,0,1,0
115,25816333,22:15:00,01:15:00,710,80100,90900,10800,15,,0,0,1,1,0,0
116,25816331,21:00:00,22:15:00,475,75600,80100,4500,9,,0,0,1,1,0,0
117,25816329,20:30:00,21:00:00,360,73800,75600,1800,5,,0,0,1,1,0,0
118,25816327,16:15:00,20:30:00,335,58500,73800,15300,46,,0,0,1,1,0,0
119,25816325,10:00:00,16:15:00,365,36000,58500,22500,62,,0,0,1,1,0,0
120,25816323,07:15:00,10:00:00,335,26100,36000,9900,30,,0,0,1,1,0,0
121,25816321,06:30:00,07:15:00,410,23400,26100,2700,7,,0,0,1,1,0,0
122,25816343,22:30:00,01:05:00,710,81000,90300,9300,13,,0,0,1,0,0,1
123,25816341,21:30:00,22:30:00,570,77400,81000,3600,6,,0,0,1,0,0,1
124,25816339,20:30:00,21:30:00,485,73800,77400,3600,7,,0,0,1,0,0,1
125,25816337,12:00:00,20:30:00,490,43200,73800,30600,62,,0,0,1,0,0,1
126,25816335,06:30:00,12:00:00,485,23400,43200,19800,41,,0,0,1,0,0,1
127,25816345,06:30:00,12:00:00,485,23400,43200,19800,41,5,1,0,0,0,1,0
128,25816349,20:30:00,21:30:00,485,73800,77400,3600,7,5,1,0,0,0,1,0
129,25816347,12:00:00,20:30:00,490,43200,73800,30600,62,5,1,0,0,0,1,0
130,25816353,22:30:00,01:05:00,710,81000,90300,9300,13,5,1,0,0,0,1,0
131,25816351,21:30:00,22:30:00,570,77400,81000,3600,6,5,1,0,0,0,1,0
